one;un
two;deux
three;trois
four;quatre
five;cinq
six;six
seven;sept
eight;huit
nine;neuf
ten;dix
Monday;lundi
Tuesday;mardi
Wednesday;mercredi
Thursday;jeudi
Friday;vendredi
Saturday;samedi
Sunday;dimanche
bone;os
chest;poitrine
thumb;pouce
hand;main
finger;doigt
arm;bras
leg;jambe
toe;loin
nail;ongles
face;face
nose;nez
eyes;yeux
ears;ouie
mouth;bouche
throat;gorge
head;tete
neck;cou
hair;cheveux
stomach;estomac
back;dos
tooth;dent
January;Janvier
February;Fevrier
March;Mars
April;Avril
May;Mai
June;Juin
July;Juillet
August;Aout
September;Septembre
October;Octobre
November;Novembre
December;Decembre
Blue;Bleu
Violet;Violet
Yellow;Jaune
Red;Rouge
Gray;Gris
Pink;Rose
Black;Noir
Brown;Marron
Green;Vert
White;Blanc
Orange;Orange
apple;pomme
orange;orange
berry;baie
lemon;citron
strawberry;fraise
banana;banane
pear;poir
pineapple;ananas
cherry;cerise
avocado;avocat
mango;mangue
grape;raisin
