bone;ithambo
chest;isifuba
hand;isandla
finger;umunwe
arm;ingalo
leg;umlenze
toe;uzwane
nail;izipho
face;ubuso
nose;mhino
eyes;amehlo
ears;izindlebhe
mouth;umlomo
throat;umphimbo
head;ikhanda
neck;intamo
hair;unwele
stomach;isisu
back;uqolo
One;Kunye
Two;Kubili
Three;Kuthathu
Four;Kune
Five;Kuhlanu
Six;Yisithupha
Seven;Yisikhombisa
Eight;Yisishiyagalombili
Nine;Yisishiyagalolunye
Ten;Yishumi
Monday;uMsombuluko
Tuesday;uLwesibili
Wednesday;uLwesithathu
Thursday;uLwesine
Friday;uLwesihlanu
Saturday;uMgqibelo
Sunday;iSonto
Today;Namuhla
Tomorrow;Kusasa
Yesterday;Izolo
January;uMasingana
February;uNhlolanja
March;uNdasa
April;uMbasa
May;uNhlaba
June;uNhlangulana
July;uNtulikazi
August;uNcwaba
September;uMandulo
October;uMfumfu
November;uLwezi
December;uZibandlela
grape;igilebhisi
berry;ibheri
apple;iapula
banana;ubhanana
lemon;ilamuna
mango;imango
strawberry;ibhimbi
orange;iwolintshi
cherry;okusamathunduluka
pair;ipere
avocado;ukwatapheya
pineapple;uphayinaphu
Violet;viyolethi
Yellow;-liphuzi
Red;-bomvu
Gray;mpunga
Black;-mnyama
Brown;-nsundu
Green;-luhlaza
White;-mhlophe
Orange;orenji
