bone;bhonzo
chest;chipfuva
hand;ruoko
finger;chigunwe
arm;ruoko
leg;gumbo
toe;chigunwe
nail;nzwara
face;meso
nose;mhino
eyes;maziso
ears;nzeve
mouth;muromo
throat;huro
head;musoro
neck;mutsipa
hair;chudzi
stomach;dumbu
back;musana
Monday;Muvhuro
Tuesday;Chipiri
Wednesday;Chitatu
Thursday;China
Friday;Chishanu
Saturday;Mugovera
Sunday;Svondo
January;Ndira
February;Kukadzi
March;Kurume
April;Kubvumbi
May;Chivabvu
June;Chikumi
July;Chikunguru
August;Nyamavhuvhu
September;Gunyana
October;Gumiguru
November;Mbudzi
December;Zvita
one;motsi
two;piri
three;tatu
four;mana
five;shanu
six;tanhatu
seven;nomwe
eight;sere
nine;pfumbamwe
ten;gumi
Blue;bhuruu
Yellow;yero
Red;tsvuku
Gray;pfumbu
Black;Nhema
Brown;shava
Green;girini
White;chena
Orange;orenji
strawberry;hatura
berry;bheri
banana;bhanana
cherry;cheri
lemon;remon
mango;mango
orange;orenji
pair;pair
pineapple;zvinanzi
grape;girep
apple;apuro
avocado;avocado
